Fecha,Hora,pH,DO,Temp,Lvl,co2,LEDw,LEDr,LEDg,LEDb,Pmp
01/07/2025,00:00:00,10.38,7.36,24.04,9.99,79645,51,0,0,0,0
01/07/2025,00:05:46,10.38,7.36,24.01,9.99,79428,51,0,0,0,0
01/07/2025,00:11:33,10.39,7.37,23.95,9.99,79211,51,0,0,0,0
01/07/2025,00:17:20,10.38,7.38,23.9,9.99,79645,51,0,0,0,0
01/07/2025,00:23:07,10.38,7.37,23.9,9.99,79537,51,0,0,0,0
01/07/2025,00:28:54,10.38,7.38,23.82,9.99,79537,51,0,0,0,0
01/07/2025,00:34:41,10.38,7.38,23.79,9.99,79537,51,0,0,0,0
01/07/2025,00:40:28,10.38,7.37,23.77,9.99,79537,51,0,0,0,0
01/07/2025,00:46:14,10.38,7.39,23.68,9.99,79645,51,0,0,0,0
01/07/2025,00:52:02,10.38,7.38,23.63,9.99,79537,51,0,0,0,0
01/07/2025,00:57:48,10.38,7.39,23.63,9.99,79537,51,0,0,0,0
01/07/2025,01:03:36,10.37,7.37,23.6,9.99,79537,51,0,0,0,0
01/07/2025,01:09:23,10.37,7.4,23.55,9.99,79645,51,0,0,0,0
01/07/2025,01:15:09,10.38,7.39,23.5,9.99,79645,51,0,0,0,0
01/07/2025,01:20:57,10.4,7.41,23.47,9.99,79537,51,0,0,0,0
01/07/2025,01:26:43,10.41,7.4,23.42,9.99,79645,51,0,0,0,0
01/07/2025,01:32:30,10.42,7.41,23.39,9.99,79645,51,0,0,0,0
01/07/2025,01:38:18,10.44,7.4,23.31,9.99,79645,51,0,0,0,0
01/07/2025,01:44:04,10.44,7.42,23.28,9.99,79645,51,0,0,0,0
01/07/2025,01:49:52,10.44,7.42,23.23,9.99,79537,51,0,0,0,0
01/07/2025,01:55:38,10.44,7.43,23.17,9.99,79537,51,0,0,0,0
01/07/2025,02:01:25,10.45,7.43,23.17,9.99,79645,51,0,0,0,0
01/07/2025,02:07:12,10.47,7.43,23.15,9.99,79645,51,0,0,0,0
01/07/2025,02:12:59,10.49,7.44,23.12,9.99,79537,51,0,0,0,0
01/07/2025,02:18:46,10.49,7.46,23.12,9.99,79645,51,0,0,0,0
01/07/2025,02:24:33,10.49,7.45,23.12,9.99,79428,51,0,0,0,0
01/07/2025,02:30:20,10.46,7.45,23.12,9.99,79537,51,0,0,0,0
01/07/2025,02:36:08,10.45,7.47,23.12,9.99,79428,51,0,0,0,0
01/07/2025,02:41:54,10.41,7.48,23.12,9.99,79645,51,0,0,0,0
01/07/2025,02:47:41,10.39,7.46,23.12,9.99,79211,51,0,0,0,0
01/07/2025,02:53:28,10.38,7.47,23.12,9.99,79645,51,0,0,0,0
01/07/2025,02:59:15,10.38,7.46,23.12,9.99,79537,51,0,0,0,0
01/07/2025,03:05:01,10.38,7.46,23.12,9.99,79537,51,0,0,0,0
01/07/2025,03:10:49,10.37,7.48,23.12,9.99,79645,51,0,0,0,0
