Fecha,Hora,pH,DO,Temp,Lvl,co2,LEDw,LEDr,LEDg,LEDb,Pmp
13/07/2025,00:00:00,10.61,7.72,22.2,9.99,3597,35,0,0,0,0
13/07/2025,00:05:46,10.61,7.72,22.18,9.99,4140,35,0,0,0,0
13/07/2025,00:11:33,10.61,7.72,22.15,9.99,3814,35,0,0,0,0
13/07/2025,00:17:20,10.61,7.72,22.15,9.99,3706,35,0,0,0,0
13/07/2025,00:23:07,10.61,7.72,22.12,9.99,3814,35,0,0,0,0
13/07/2025,00:28:54,10.61,7.73,22.12,9.99,3814,35,0,0,0,0
13/07/2025,00:34:41,10.63,7.71,22.12,9.99,4031,35,0,0,0,0
13/07/2025,00:40:28,10.62,7.71,22.07,9.99,3923,35,0,0,0,0
13/07/2025,00:46:15,10.62,7.72,22.04,9.99,3923,35,0,0,0,0
13/07/2025,00:52:02,10.62,7.73,22.04,9.99,3706,35,0,0,0,0
13/07/2025,00:57:49,10.63,7.72,22.04,9.99,3380,35,0,0,0,0
13/07/2025,01:03:36,10.63,7.74,22.04,9.99,3814,35,0,0,0,0
13/07/2025,01:09:23,10.63,7.71,22.01,9.99,4031,35,0,0,0,0
13/07/2025,01:15:10,10.64,7.74,21.99,9.99,3814,35,0,0,0,0
13/07/2025,01:20:57,10.65,7.73,21.99,9.99,3706,35,0,0,0,0
13/07/2025,01:26:44,10.66,7.72,21.99,9.99,4031,35,0,0,0,0
13/07/2025,01:32:31,10.67,7.72,21.96,9.99,3814,35,0,0,0,0
13/07/2025,01:38:18,10.71,7.74,21.93,9.99,3814,35,0,0,0,0
13/07/2025,01:44:05,10.69,7.76,21.91,9.99,3489,35,0,0,0,0
13/07/2025,01:49:51,10.69,7.73,21.91,9.99,3706,35,0,0,0,0
13/07/2025,01:55:39,10.7,7.75,21.91,9.99,3597,35,0,0,0,0
13/07/2025,02:01:26,10.7,7.75,21.91,9.99,3380,35,0,0,0,0
13/07/2025,02:07:12,10.72,7.76,21.91,9.99,3597,35,0,0,0,0
13/07/2025,02:13:00,10.73,7.78,21.91,9.99,3814,35,0,0,0,0
13/07/2025,02:18:47,10.69,7.77,21.91,9.99,4357,35,0,0,0,0
13/07/2025,02:24:33,10.69,7.77,21.91,9.99,3923,35,0,0,0,0
13/07/2025,02:30:21,10.68,7.78,21.91,9.99,4031,35,0,0,0,0
13/07/2025,02:36:07,10.66,7.79,21.91,9.99,4031,35,0,0,0,0
13/07/2025,02:41:54,10.65,7.78,21.91,9.99,4140,35,0,0,0,0
13/07/2025,02:47:42,10.64,7.78,21.91,9.99,4031,35,0,0,0,0
13/07/2025,02:53:28,10.63,7.8,21.91,9.99,3923,35,0,0,0,0
13/07/2025,02:59:15,10.62,7.78,21.91,9.99,4031,35,0,0,0,0
13/07/2025,03:05:03,10.61,7.79,21.91,9.99,3814,35,0,0,0,0
13/07/2025,03:10:49,10.61,7.78,21.91,9.99,4465,35,0,0,0,0
13/07/2025,03:16:36,10.6,7.79,21.91,9.99,3814,35,0,0,0,0
13/07/2025,03:22:23,10.6,7.77,21.91,9.99,4140,35,0,0,0,0
13/07/2025,03:28:10,10.6,7.78,21.91,9.99,3923,35,0,0,0,0
13/07/2025,03:33:57,10.6,7.78,21.91,9.99,4140,35,0,0,0,0
13/07/2025,03:39:44,10.6,7.77,21.91,9.99,4031,35,0,0,0,0
13/07/2025,03:45:31,10.6,7.77,21.91,9.99,3814,35,0,0,0,0
13/07/2025,03:51:18,10.6,7.76,21.91,9.99,3814,35,0,0,0,0
13/07/2025,03:57:05,10.6,7.77,21.91,9.99,4031,35,0,0,0,0
13/07/2025,04:02:52,10.59,7.76,21.91,9.99,4031,35,0,0,0,0
13/07/2025,04:08:39,10.6,7.77,21.91,9.99,3923,35,0,0,0,0
13/07/2025,04:14:26,10.6,7.76,21.91,9.99,3923,35,0,0,0,0
13/07/2025,04:20:13,10.6,7.77,21.91,9.99,3597,35,0,0,0,0
13/07/2025,04:26:00,10.6,7.76,21.91,9.99,3706,35,0,0,0,0
13/07/2025,04:31:47,10.6,7.75,21.91,9.99,3814,35,0,0,0,0
13/07/2025,04:37:34,10.6,7.76,21.91,9.99,4140,35,0,0,0,0
13/07/2025,04:43:21,10.6,7.76,21.91,9.99,4031,35,0,0,0,0
13/07/2025,04:49:08,10.6,7.75,21.91,9.99,3923,35,0,0,0,0
13/07/2025,04:54:54,10.62,7.77,21.91,9.99,3706,35,0,0,0,0
13/07/2025,05:00:42,10.64,7.76,21.91,9.99,3923,35,0,0,0,0
13/07/2025,05:06:29,10.65,7.75,21.91,9.99,3706,35,0,0,0,0
13/07/2025,05:12:15,10.67,7.77,21.91,9.99,3706,35,0,0,0,0
13/07/2025,05:18:03,10.68,7.76,21.91,9.99,3706,35,0,0,0,0
13/07/2025,05:23:50,10.68,7.77,21.91,9.99,3597,35,0,0,0,0
13/07/2025,05:29:36,10.7,7.79,21.91,9.99,3489,35,0,0,0,0
13/07/2025,05:35:24,10.7,7.79,21.91,9.99,3272,35,0,0,0,0
